sourceId,sourceDotNotation,sourceStandard,destinationUrl
4ff47f6a6bb41e469c0be639,2.RL.1, "Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",?
4ff47f6a6bb41e469c0be64f,4.RL.3, "Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character�s thoughts, words, or actions).",?
4ff47f6a6bb41e469c0be65c,5.RL.6, "Describe how a narrator�s or speaker�s point of view influences how events are described.",?
4ff47f6a6bb41e469c0be660,5.RL.10, "By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4�5 text complexity band independently and proficiently.",?
4ff47f6a6bb41e469c0be678,2.RI.4, "Determine the meaning of words and phrases in a text relevant to a grade 2 topic or subject area.",?
4ff47f6a6bb41e469c0be67f,3.RI.1, "Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",?
4ff47f6a6bb41e469c0be682,3.RI.4, "Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.",?
4ff47f6a6bb41e469c0be689,4.RI.1, "Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.",?
4ff47f6a6bb41e469c0be693,5.RI.1, "Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.",?
4ff47f6a6bb41e469c0be6d8,4.RF.4.a, "Read on-level text with purpose and understanding.",?
4ff47f6a6bb41e469c0be702,3.W.1.c, "Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons.",?
4ff47f6a6bb41e469c0be70e,3.W.4, "With guidance and support from adults, produce writing in which the development and organization are appropriate to task and purpose. (Grade-specific expectations for writing types are defined in standards 1�3 above.)",?
4ff47f6a6bb41e469c0be713,3.W.9, "(Begins in grade 4)",?
4ff47f6a6bb41e469c0be71a,4.W.2, "Write informative/explanatory texts to examine a topic and convey ideas and information clearly.",?
4ff47f6a6bb41e469c0be726,4.W.4, "Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1�3 above.)",?
4ff47f6b6bb41e469c0be734,5.W.2, "Write informative/explanatory texts to examine a topic and convey ideas and information clearly.",?
4ff47f6b6bb41e469c0be740,5.W.4, "Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1�3 above.)",?
4ff47f6b6bb41e469c0be7c1,2.L.4.a, "Use sentence-level context as a clue to the meaning of a word or phrase.",?
4ff47f6b6bb41e469c0be7e0,3.L.4.a, "Use sentence-level context as a clue to the meaning of a word or phrase.",?
4ff47f6b6bb41e469c0be813,6.RL.3, "Describe how a particular story�s or drama�s plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.",?
4ff47f6b6bb41e469c0be814,6.RL.4, "Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone.",?
4ff47f6b6bb41e469c0be82a,8.RL.6, "nalyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor.",?
4ff47f6b6bb41e469c0be833,9-10.RL.5, "Analyze how an author�s choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise.",?
4ff47f6b6bb41e469c0be83e,11-12.RL.6, "Analyze a case in which grasping a point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement).",?
4ff47f6b6bb41e469c0be84d,7.RI.1, "Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.",?
4ff47f6b6bb41e469c0be857,8.RI.1, "Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.",?
4ff47f6b6bb41e469c0be85c,8.RI.6, "Determine an author�s point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.",?
4ff47f6b6bb41e469c0be887,6.W.3.e, "Provide a conclusion that follows from the narrated experiences or events.",?
4ff47f6b6bb41e469c0be888,6.W.4, "Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1�3 above.)",?
4ff47f6b6bb41e469c0be88e,6.W.9.a, "Apply grade 6 Reading standards to literature (e.g., �Compare and contrast texts in different forms or genres [e.g., stories and poems; historical novels and fantasy stories] in terms of their approaches to similar themes and topics�).",?
4ff47f6b6bb41e469c0be88f,6.W.9.b, "Apply grade 6 Reading standards to literary nonfiction (e.g., �Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not�).",?
4ff47f6c6bb41e469c0be897,7.W.2, "Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content.",?
4ff47f6c6bb41e469c0be8a0,7.W.3.b, "Use narrative techniques, such as dialogue, pacing, and description, to develop experiences, events, and/or characters.",?
4ff47f6c6bb41e469c0be8a1,7.W.3.c, "Use a variety of transition words, phrases, and clauses to convey sequence and signal shifts from one time frame or setting to another.",?
4ff47f6c6bb41e469c0be8a9,7.W.9, "Draw evidence from literary or informational texts to support analysis, reflection, and research.",?
4ff47f6c6bb41e469c0be8aa,7.W.9.a, "Apply grade 7 Reading standards to literature (e.g., �Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history�).",?
4ff47f6c6bb41e469c0be8b3,8.W.2, "Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content.",?
4ff47f6c6bb41e469c0be8c5,8.W.9, "Draw evidence from literary or informational texts to support analysis, reflection, and research.",?
4ff47f6c6bb41e469c0be943,7.L.4.a, "Use context (e.g., the overall meaning of a sentence or paragraph; a word�s position or function in a sentence) as a clue to the meaning of a word or phrase.",?
4ff47f6c6bb41e469c0be944,7.L.4.b, "Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., belligerent, bellicose, rebel).",?
